"Family (Scientific)"	"Family (English)"	"Code"	"Comment"
"Tinamidae"	"Tinamous"	"."	"."
"Struthionidae"	"Ostriches"	"."	"."
"Rheidae"	"Rheas"	"."	"."
"Casuariidae"	"Cassowaries"	"."	"."
"Dromaiidae"	"Emu"	"."	"."
"Apterygidae"	"Kiwis"	"."	"."
"Anhimidae"	"Screamers"	"."	"."
"Anseranatidae"	"Magpie Goose"	"."	"."
"Anatidae"	"Ducks, Geese and Swans"	"."	"."
"Megapodiidae"	"Megapodes"	"."	"."
"Cracidae"	"Chachalacas, Curassows and Guans"	"."	"."
"Numididae"	"Guineafowl"	"."	"."
"Odontophoridae"	"New World Quail"	"."	"."
"Phasianidae"	"Pheasants and allies"	"."	"."
"Gaviidae"	"Loons"	"."	"."
"Spheniscidae"	"Penguins"	"."	"."
"Diomedeidae"	"Albatrosses"	"TAX"	"The species taxonomy of albatrosses is controversial with advocates for 12 to 24 species (BLI, Tennyson 2010, SACC 388, Penhallurick 2012)"
"Procellariidae"	"Petrels, Shearwaters"	"."	"."
"Hydrobatidae"	"Storm Petrels"	"TAX, PHY"	"The subfamilies Hydrobatinae and Oceanitinae may not be sister taxa and could be treated as separate families (Nunn & Stanley 1998; Penhallurick & Wink 2004, Hackett et al. 2008)"
"Pelecanoididae"	"Diving Petrels"	"."	"."
"Podicipedidae"	"Grebes"	"."	"."
"Phoenicopteridae"	"Flamingos"	"."	"."
"Phaethontidae"	"Tropicbirds"	"."	"."
"Ciconiidae"	"Storks"	"."	"."
"Threskiornithidae"	"Ibises, Spoonbills"	"PHY"	"Ibises and spoonbills (Threskiornithidae) and herons (Ardeidae) are sister taxa in the Order Pelecaniformes (Hackett et al. 2008)"
"Ardeidae"	"Herons, Bitterns"	"PHY"	"The herons (Ardeidae) and ibises,spoonbills (Threskiornithidae) are sister taxa in the Order Pelecaniformes (Hackett et al. 2008)"
"Scopidae"	"Hamerkop"	"."	"."
"Balaenicipitidae"	"Shoebill"	"."	"."
"Pelecanidae"	"Pelicans"	"."	"."
"Fregatidae"	"Frigatebirds"	"."	"."
"Sulidae"	"Gannets, Boobies"	"."	"."
"Phalacrocoracidae"	"Cormorants, Shags"	"TAX"	"The genera of cormorants and the distinctions between ""shags"" and ""cormorants"" remain mostly unresolved due to conflicts among studies and missing taxa (Siegel-Causey 1988, Kennedy et al 2000, Christidis &  Boles 2008). Except for species of Microcarbo"
"Anhingidae"	"Anhingas, Darters"	"."	"."
"Cathartidae"	"New World Vultures"	"TAX"	"SACC 361 elevates the New World Vultures (Cathartidae) to a separate order, the Cathartiformes"
"Sagittariidae"	"Secretarybird"	"TAX"	"RESTORE: Secretarybird to a monotypic family Sagittariidae in accord with the Tree of Life phylogeny (Hackett et al. 2008)"
"Pandionidae"	"Ospreys"	"TAX"	"RESTORE: Ospreys to the family Pandionidae in accord with the Tree of Life phylogeny (Hackett et al. 2008)"
"Accipitridae"	"Kites, Hawks and Eagles"	"TAX,PHY"	"Classification of Accipitridae revised v3.3; see especially Wink & Sauer-Gürth 2004, Lerner & Mindell 2005, TIF)"
"Otididae"	"Bustards"	"."	"."
"Mesitornithidae"	"Mesites"	"."	"."
"Cariamidae"	"Seriemas"	"."	"."
"Rhynochetidae"	"Kagu"	"PHY"	"The Kagu (Rhynochetidae) and Sunbittern (Eurypygidae) are sister taxa (Hackett et al. 2008)."
"Eurypygidae"	"Sunbittern"	"."	"."
