"Genus"	"Authority"	"Code"	"Comment"
"Tinamus"	"Hermann, 1783"	"."	"."
"Nothocercus"	"Bonaparte, 1856"	"."	"."
"Crypturellus"	"Brabourne & Chubb, C, 1914"	"."	"."
"Rhynchotus"	"von Spix, 1825"	"."	"."
"Nothoprocta"	"Sclater, PL & Salvin, 1873"	"."	"."
"Nothura"	"Wagler, 1827"	"."	"."
"Taoniscus"	"Gloger, 1842"	"."	"."
"Eudromia"	"Geoffroy Saint-Hilaire, I, 1832"	"."	"."
"Tinamotis"	"Vigors, 1837"	"."	"."
"Struthio"	"Linnaeus, 1758"	"."	"."
"Rhea"	"Brisson, 1760"	"."	"."
"Casuarius"	"Brisson, 1760"	"."	"."
"Dromaius"	"Vieillot, 1816"	"."	"."
"Apteryx"	"Shaw, 1813"	"."	"."
"Anhima"	"Brisson, 1760"	"."	"."
"Chauna"	"Illiger, 1811"	"."	"."
"Anseranas"	"Lesson, 1828"	"."	"."
"Dendrocygna"	"Swainson, 1837"	"."	"."
"Thalassornis"	"Eyton, 1838"	"."	"."
"Cereopsis"	"Latham, 1801"	"."	"."
"Anser"	"Brisson, 1760"	"."	"."
"Chen"	"Boie, F, 1822"	"."	"."
"Branta"	"Scopoli, 1769"	"."	"."
"Coscoroba"	"Reichenbach, 1853"	"."	"."
"Cygnus"	"Garsault, 1764"	"."	"."
"Stictonetta"	"Reichenbach, 1853"	"."	"."
"Hymenolaimus"	"Gray, GR, 1843"	"."	"."
"Tachyeres"	"Owen, 1875"	"."	"."
"Merganetta"	"Gould, 1842"	"."	"."
"Plectropterus"	"Stephens, 1824"	"."	"."
"Sarkidiornis"	"Eyton, 1838"	"."	"."
"Cyanochen"	"Bonaparte, 1856"	"."	"."
"Alopochen"	"Stejneger, 1885"	"."	"."
"Neochen"	"Oberholser, 1918"	"."	"."
"Chloephaga"	"Eyton, 1838"	"."	"."
"Tadorna"	"Boie, F, 1822"	"."	"."
"Malacorhynchus"	"Swainson, 1831"	"."	"."
"Salvadorina"	"Rothschild & Hartert, 1894"	"."	"."
"Cairina"	"Fleming, J, 1822"	"."	"."
"Asarcornis"	"Salvadori, 1895"	"."	"."
"Pteronetta"	"Salvadori, 1895"	"."	"."
"Aix"	"Boie, F, 1828"	"."	"."
"Chenonetta"	"von Brandt, JF, 1836"	"."	"."
"Nettapus"	"von Brandt, JF, 1836"	"."	"."
"Amazonetta"	"von Boetticher, 1929"	"."	"."
"Callonetta"	"Delacour, 1936"	"."	"."
"Lophonetta"	"Riley, 1914"	"."	"."
"Speculanas"	"von Boetticher, 1929"	"."	"."
"Anas"	"Linnaeus, 1758"	"."	"."
"Marmaronetta"	"Reichenbach, 1853"	"."	"."
"Rhodonessa"	"Reichenbach, 1853"	"."	"."
"Netta"	"Kaup, 1829"	"."	"."
"Aythya"	"Boie, F, 1822"	"."	"."
"Polysticta"	"Eyton, 1836"	"."	"."
"Somateria"	"Leach, 1819"	"."	"."
"Histrionicus"	"Lesson, 1828"	"."	"."
"Camptorhynchus"	"Bonaparte, 1838"	"."	"."
"Melanitta"	"Boie, F, 1822"	"."	"."
"Clangula"	"Leach, 1819"	"."	"."
"Bucephala"	"Baird, SF, 1858"	"."	"."
"Mergellus"	"Selby, 1840"	"."	"."
"Lophodytes"	"Reichenbach, 1853"	"."	"."
"Mergus"	"Linnaeus, 1758"	"."	"."
"Heteronetta"	"Salvadori, 1865"	"."	"."
"Nomonyx"	"Ridgway, 1880"	"."	"."
"Oxyura"	"Bonaparte, 1828"	"."	"."
"Biziura"	"Stephens, 1824"	"."	"."
"Alectura"	"Latham, 1824"	"."	"."
"Aepypodius"	"Oustalet, 1880"	"."	"."
"Talegalla"	"Lesson, 1828"	"."	"."
"Leipoa"	"Gould, 1840"	"."	"."
"Macrocephalon"	"Müller, S, 1846"	"."	"."
"Eulipoa"	"Ogilvie-Grant, 1893"	"."	"."
"Megapodius"	"Gaimard, 1823"	"."	"."
"Ortalis"	"Merrem, 1786"	"."	"."
"Penelope"	"Merrem, 1786"	"."	"."
"Pipile"	"Bonaparte, 1856"	"."	"."
"Aburria"	"Reichenbach, 1853"	"."	"."
"Chamaepetes"	"Wagler, 1832"	"."	"."
"Penelopina"	"Reichenbach, 1861"	"."	"."
"Oreophasis"	"Gray, GR, 1844"	"."	"."
"Nothocrax"	"Burmeister, 1856"	"."	"."
"Mitu"	"Lesson, 1831"	"."	"."
"Pauxi"	"Temminck, 1813"	"."	"."
"Crax"	"Linnaeus, 1758"	"."	"."
"Agelastes"	"Bonaparte, 1850"	"."	"."
"Numida"	"Linnaeus, 1764"	"."	"."
"Guttera"	"Wagler, 1832"	"."	"."
"Acryllium"	"Gray, GR, 1840"	"."	"."
"Ptilopachus"	"Swainson, 1837"	"PHY, SEQ"	"Ptilopachus partridges of Africa are related to New World quails (Odontophoridae) and in turn to the guineafowl (Numididae), not to members of Phasianidae (Crowe et al. 2006, Crowe 2010, Cohen et al 2012). See also Bowie et al 2013 recommendation to treat as a subfamily Ptilopachinae."
"Dendrortyx"	"Gould, 1844"	"."	"."
"Oreortyx"	"Baird, SF, 1858"	"."	"."
"Callipepla"	"Wagler, 1832"	"."	"."
"Philortyx"	"Gould, 1846"	"."	"."
"Colinus"	"Goldfuss, 1820"	"."	"."
"Odontophorus"	"Vieillot, 1816"	"."	"."
"Dactylortyx"	"Ogilvie-Grant, 1893"	"."	"."
"Cyrtonyx"	"Gould, 1844"	"."	"."
"Rhynchortyx"	"Ogilvie-Grant, 1893"	"."	"."
"Meleagris"	"Linnaeus, 1758"	"."	"."
"Bonasa"	"Stephens, 1819"	"."	"."
"Tetrastes"	"Keyserling & Blasius, JH, 1840"	"."	"."
"Falcipennis"	"Elliot, DG, 1864"	"."	"."
"Tetrao"	"Linnaeus, 1758"	"."	"."
"Lyrurus"	"Swainson, 1832"	"."	"."
"Centrocercus"	"Swainson, 1832"	"."	"."
"Dendragapus"	"Elliot, DG, 1864"	"."	"."
"Tympanuchus"	"Gloger, 1841"	"."	"."
"Lagopus"	"Brisson, 1760"	"."	"."
"Lerwa"	"Hodgson, 1837"	"."	"."
"Tetraophasis"	"Elliot, DG, 1871"	"."	"."
"Tetraogallus"	"Gray, JE, 1832"	"."	"."
"Alectoris"	"Kaup, 1829"	"."	"."
"Ammoperdix"	"Gould, 1851"	"."	"."
"Francolinus"	"Stephens, 1819"	"."	"."
"Peliperdix"	"Bonaparte, 1856"	"."	"."
"Scleroptila"	"Blyth, 1852"	"."	"."
"Dendroperdix"	"Roberts, 1922"	"."	"."
"Pternistis"	"Wagler, 1832"	"."	"."
"Perdix"	"Brisson, 1760"	"."	"."
"Rhizothera"	"Gray, GR, 1841"	"."	"."
"Margaroperdix"	"Reichenbach, 1853"	"."	"."
"Melanoperdix"	"Jerdon, 1864"	"."	"."
"Coturnix"	"Garsault, 1764"	"."	"."
"Excalfactoria"	"Bonaparte, 1856"	"TAX"	"King Quail and Blue Quail are moved from Coturnix to Excalfactoria (Crowe et al 2006, Christidis &  Boles 2008)"
"Anurophasis"	"van Oort, 1910"	"."	"."
"Perdicula"	"Hodgson, 1837"	"."	"."
"Ophrysia"	"Bonaparte, 1856"	"."	"."
"Xenoperdix"	"Dinesen, Lehmberg, Svendsen, Hansen & Fjeldså, 1994"	"."	"."
"Arborophila"	"Hodgson, 1837"	"."	"."
"Caloperdix"	"Blyth, 1861"	"."	"."
"Haematortyx"	"Sharpe, 1879"	"."	"."
"Rollulus"	"Bonnaterre, 1791"	"."	"."
"Bambusicola"	"Gould, 1863"	"."	"."
"Galloperdix"	"Blyth, 1845"	"."	"."
"Ithaginis"	"Wagler, 1832"	"."	"."
"Tragopan"	"Cuvier, 1829"	"."	"."
"Pucrasia"	"Gray, GR, 1841"	"."	"."
"Lophophorus"	"Temminck, 1813"	"."	"."
"Gallus"	"Brisson, 1760"	"."	"."
"Lophura"	"Fleming, J, 1822"	"."	"."
"Crossoptilon"	"Hodgson, 1838"	"."	"."
"Catreus"	"Cabanis, 1851"	"."	"."
"Syrmaticus"	"Wagler, 1832"	"."	"."
"Phasianus"	"Linnaeus, 1758"	"."	"."
"Chrysolophus"	"Gray, JE, 1834"	"."	"."
"Polyplectron"	"Temminck, 1807"	"."	"."
"Rheinardia"	"Maingonnat, 1882"	"."	"."
"Argusianus"	"Gray, GR, 1849"	"."	"."
"Pavo"	"Linnaeus, 1758"	"."	"."
"Afropavo"	"Chapin, 1936"	"."	"."
"Gavia"	"Forster, JR, 1788"	"."	"."
"Aptenodytes"	"Miller, JF, 1778"	"."	"."
"Pygoscelis"	"Wagler, 1832"	"."	"."
"Eudyptes"	"Vieillot, 1816"	"."	"."
"Megadyptes"	"Milne-Edwards, 1880"	"."	"."
"Eudyptula"	"Bonaparte, 1856"	"."	"."
"Spheniscus"	"Brisson, 1760"	"."	"."
"Phoebastria"	"Reichenbach, 1853"	"."	"."
"Diomedea"	"Linnaeus, 1758"	"."	"."
"Phoebetria"	"Reichenbach, 1853"	"."	"."
"Thalassarche"	"Reichenbach, 1853"	"."	"."
"Macronectes"	"Richmond, 1905"	"."	"."
"Fulmarus"	"Stephens, 1826"	"."	"."
"Thalassoica"	"Reichenbach, 1853"	"."	"."
