"Order"	"Family (Scientific)"	"Family (English)"	"Genus"	"Species (Scientific)"	"Subspecies"	"Authority"	"Species (English)"	"Breeding Range-Region"	"Breeding Range-Subregion(s)"	"Nonbreeding Range"	"Code"	"Comment"	"Binomial"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Tinamus"	"tao"	"."	"Temminck, 1815"	"Grey Tinamou"	"SA"	"Amazonia"	"."	"."	"."	"Tinamus tao"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Tinamus"	"solitarius"	"."	"(Vieillot, 1819)"	"Solitary Tinamou"	"SA"	"se"	"."	"."	"."	"Tinamus solitarius"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Tinamus"	"osgoodi"	"."	"Conover, 1949"	"Black Tinamou"	"SA"	"sc Colombia, se Peru"	"."	"."	"."	"Tinamus osgoodi"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Tinamus"	"major"	"."	"(Gmelin, JF, 1789)"	"Great Tinamou"	"LA"	"s Mexico through Amazonia"	"."	"."	"."	"Tinamus major"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Tinamus"	"guttatus"	"."	"Pelzeln, 1863"	"White-throated Tinamou"	"SA"	"Amazonia"	"."	"."	"."	"Tinamus guttatus"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Nothocercus"	"bonapartei"	"."	"(Gray, GR, 1867)"	"Highland Tinamou"	"LA"	"Costa Rica to Peru"	"."	"."	"."	"Nothocercus bonapartei"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Nothocercus"	"julius"	"."	"(Bonaparte, 1854)"	"Tawny-breasted Tinamou"	"SA"	"c Colombia and w Venezuela to sc Peru"	"."	"."	"."	"Nothocercus julius"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Nothocercus"	"nigrocapillus"	"."	"(Gray, GR, 1867)"	"Hooded Tinamou"	"SA"	"Peru, Bolivia"	"."	"."	"."	"Nothocercus nigrocapillus"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"berlepschi"	"."	"(Rothschild, 1897)"	"Berlepsch's Tinamou"	"SA"	"w Colombia and nw Ecuador"	"."	"."	"."	"Crypturellus berlepschi"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"cinereus"	"."	"(Gmelin, JF, 1789)"	"Cinereous Tinamou"	"SA"	"Amazonia"	"."	"."	"."	"Crypturellus cinereus"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"soui"	"."	"(Hermann, 1783)"	"Little Tinamou"	"LA"	"s Mexico to e Brazil"	"."	"."	"."	"Crypturellus soui"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"ptaritepui"	"."	"Zimmer, JT & Phelps, 1945"	"Tepui Tinamou"	"SA"	"Venezuela"	"."	"."	"."	"Crypturellus ptaritepui"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"obsoletus"	"."	"(Temminck, 1815)"	"Brown Tinamou"	"SA"	"Widespread"	"."	"."	"."	"Crypturellus obsoletus"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"undulatus"	"."	"(Temminck, 1815)"	"Undulated Tinamou"	"SA"	"Amazonia, sc"	"."	"."	"."	"Crypturellus undulatus"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"transfasciatus"	"."	"(Sclater, PL & Salvin, 1878)"	"Pale-browed Tinamou"	"SA"	"w Ecuador, nw Peru"	"."	"."	"."	"Crypturellus transfasciatus"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"strigulosus"	"."	"(Temminck, 1815)"	"Brazilian Tinamou"	"SA"	"e Peru and nw Bolivia through s Amazonian Brazil"	"."	"."	"."	"Crypturellus strigulosus"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"duidae"	"."	"Zimmer, JT, 1938"	"Grey-legged Tinamou"	"SA"	"ec Colombia to s Venezuela"	"."	"."	"."	"Crypturellus duidae"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"erythropus"	"."	"(Pelzeln, 1863)"	"Red-legged Tinamou"	"SA"	"n"	"."	"."	"."	"Crypturellus erythropus"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"noctivagus"	"."	"(zu Wied-Neuwied, 1820)"	"Yellow-legged Tinamou"	"SA"	"e Brazil"	"."	"."	"."	"Crypturellus noctivagus"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"atrocapillus"	"."	"(Tschudi, 1844)"	"Black-capped Tinamou"	"SA"	"Peru, Bolivia"	"."	"."	"."	"Crypturellus atrocapillus"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"cinnamomeus"	"."	"(Lesson, 1842)"	"Thicket Tinamou"	"MA"	"wc Mexico to Costa Rica"	"."	"AS"	"Crypturellus cinnamomeus is a split from C. erythropus, H&M,BLI, AOU (1998)"	"Crypturellus cinnamomeus"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"boucardi"	"."	"(Sclater, PL, 1860)"	"Slaty-breasted Tinamou"	"MA"	"s Mexico to Costa Rica"	"."	"AS"	"Crypturellus boucardi is split from C. erythropus; H&M, BLI, and AOU (1998)"	"Crypturellus boucardi"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"kerriae"	"."	"(Chapman, 1915)"	"Choco Tinamou"	"LA"	"se Panama, nw Colombia"	"."	"."	"."	"Crypturellus kerriae"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"variegatus"	"."	"(Gmelin, JF, 1789)"	"Variegated Tinamou"	"SA"	"Amazonia, e Brazil"	"."	"."	"."	"Crypturellus variegatus"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"brevirostris"	"."	"(Pelzeln, 1863)"	"Rusty Tinamou"	"SA"	"w and ne Amazonia"	"."	"."	"."	"Crypturellus brevirostris"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"bartletti"	"."	"(Sclater, PL & Salvin, 1873)"	"Bartlett's Tinamou"	"SA"	"w Amazonia"	"."	"."	"."	"Crypturellus bartletti"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"parvirostris"	"."	"(Wagler, 1827)"	"Small-billed Tinamou"	"SA"	"se Peru and s Amazonian Brazil to ne Argentina"	"."	"."	"."	"Crypturellus parvirostris"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"casiquiare"	"."	"(Chapman, 1929)"	"Barred Tinamou"	"SA"	"e Colombia, s Venezuela"	"."	"."	"."	"Crypturellus casiquiare"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"tataupa"	"."	"(Temminck, 1815)"	"Tataupa Tinamou"	"SA"	"e, se, sc"	"."	"."	"."	"Crypturellus tataupa"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Rhynchotus"	"rufescens"	"."	"(Temminck, 1815)"	"Red-winged Tinamou"	"SA"	"e, se, sc"	"."	"."	"."	"Rhynchotus rufescens"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Rhynchotus"	"maculicollis"	"."	"Gray, GR, 1867"	"Huayco Tinamou"	"SA"	"nw Bolivia, nw Argentina"	"."	"."	"."	"Rhynchotus maculicollis"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Nothoprocta"	"taczanowskii"	"."	"Sclater, PL & Salvin, 1875"	"Taczanowski's Tinamou"	"SA"	"sc Peru"	"."	"."	"."	"Nothoprocta taczanowskii"
