"Order"	"Family (Scientific)"	"Family (English)"	"Genus"	"Species (Scientific)"	"Subspecies"	"Authority"	"Species (English)"	"Breeding Range-Region"	"Breeding Range-Subregion(s)"	"Nonbreeding Range"	"Code"	"Comment"	"Trinomial"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Tinamus"	"tao"	"larensis"	"Phelps & Phelps Jr, 1949"	"."	"."	"c Colombia, nw Venezuela"	"."	"."	"."	"Tinamus tao larensis"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Tinamus"	"tao"	"septentrionalis"	"Brabourne & Chubb, C, 1913"	"."	"."	"ne Venezuela, nw Guyana"	"."	"."	"."	"Tinamus tao septentrionalis"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Tinamus"	"tao"	"tao"	"Temminck, 1815"	"."	"."	"nc Brazil"	"."	"."	"."	"Tinamus tao tao"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Tinamus"	"tao"	"kleei"	"(Tschudi, 1843)"	"."	"."	"sc Colombia to e Bolivia and w Brazil"	"."	"."	"."	"Tinamus tao kleei"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Tinamus"	"solitarius"	"pernambucensis"	"Berla, 1946"	"."	"."	"ec Brazil"	"."	"."	"."	"Tinamus solitarius pernambucensis"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Tinamus"	"solitarius"	"solitarius"	"(Vieillot, 1819)"	"."	"."	"e Brazil, Paraguay, ne Argentina"	"."	"."	"."	"Tinamus solitarius solitarius"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Tinamus"	"osgoodi"	"hershkovitzi"	"Blake, 1953"	"."	"."	"sc Colombia"	"."	"."	"."	"Tinamus osgoodi hershkovitzi"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Tinamus"	"osgoodi"	"osgoodi"	"Conover, 1949"	"."	"."	"se Peru"	"."	"."	"."	"Tinamus osgoodi osgoodi"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Tinamus"	"major"	"robustus"	"Sclater, PL & Salvin, 1868"	"."	"."	"se Mexico, Guatemala, Honduras"	"."	"."	"."	"Tinamus major robustus"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Tinamus"	"major"	"percautus"	"van Tyne, 1935"	"."	"."	"s Mexico, n Guatemala, Belize"	"."	"."	"."	"Tinamus major percautus"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Tinamus"	"major"	"fuscipennis"	"Salvadori, 1895"	"."	"."	"n Nicaragua to w Panama"	"."	"."	"."	"Tinamus major fuscipennis"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Tinamus"	"major"	"brunneiventris"	"Aldrich, 1937"	"."	"."	"sc Panama"	"."	"."	"."	"Tinamus major brunneiventris"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Tinamus"	"major"	"castaneiceps"	"Salvadori, 1895"	"."	"."	"sw Costa Rica, w Panama"	"."	"."	"."	"Tinamus major castaneiceps"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Tinamus"	"major"	"saturatus"	"Griscom, 1929"	"."	"."	"e Panama, nw Colombia"	"."	"."	"."	"Tinamus major saturatus"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Tinamus"	"major"	"zuliensis"	"Osgood & Conover, 1922"	"."	"."	"ne Colombia, n Venezuela"	"."	"."	"."	"Tinamus major zuliensis"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Tinamus"	"major"	"latifrons"	"Salvadori, 1895"	"."	"."	"sw Colombia, w Ecuador"	"."	"."	"."	"Tinamus major latifrons"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Tinamus"	"major"	"major"	"(Gmelin, JF, 1789)"	"."	"."	"e Venezuela to ne Brazil"	"."	"."	"."	"Tinamus major major"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Tinamus"	"major"	"serratus"	"(von Spix, 1825)"	"."	"."	"nw Brazil"	"."	"."	"."	"Tinamus major serratus"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Tinamus"	"major"	"olivascens"	"Conover, 1937"	"."	"."	"Amazonian Brazil"	"."	"."	"."	"Tinamus major olivascens"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Tinamus"	"major"	"peruvianus"	"Bonaparte, 1856"	"."	"."	"se Colombia to Bolivia and w Brazil"	"."	"."	"."	"Tinamus major peruvianus"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Nothocercus"	"bonapartei"	"frantzii"	"(Lawrence, 1868)"	"."	"."	"Costa Rica, w Panama"	"."	"."	"."	"Nothocercus bonapartei frantzii"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Nothocercus"	"bonapartei"	"bonapartei"	"(Gray, GR, 1867)"	"."	"."	"nc Colombia, w Venezuela"	"."	"."	"."	"Nothocercus bonapartei bonapartei"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Nothocercus"	"bonapartei"	"intercedens"	"Salvadori, 1895"	"."	"."	"w Colombia"	"."	"."	"."	"Nothocercus bonapartei intercedens"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Nothocercus"	"bonapartei"	"discrepans"	"Friedmann, 1947"	"."	"."	"e Colombia"	"."	"."	"."	"Nothocercus bonapartei discrepans"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Nothocercus"	"bonapartei"	"plumbeiceps"	"Lönnberg & Rendahl, 1922"	"."	"."	"e Ecuador, n Peru"	"."	"."	"."	"Nothocercus bonapartei plumbeiceps"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Nothocercus"	"nigrocapillus"	"cadwaladeri"	"Carriker, 1933"	"."	"."	"nw Peru"	"."	"."	"."	"Nothocercus nigrocapillus cadwaladeri"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Nothocercus"	"nigrocapillus"	"nigrocapillus"	"(Gray, GR, 1867)"	"."	"."	"c Peru to n Bolivia"	"."	"."	"."	"Nothocercus nigrocapillus nigrocapillus"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"soui"	"meserythrus"	"(Sclater, PL, 1860)"	"."	"."	"s Mexico to se Nicaragua"	"."	"."	"."	"Crypturellus soui meserythrus"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"soui"	"modestus"	"(Cabanis, 1869)"	"."	"."	"Costa Rica, w Panama"	"."	"."	"."	"Crypturellus soui modestus"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"soui"	"capnodes"	"Wetmore, 1963"	"."	"."	"nw Panama"	"."	"."	"."	"Crypturellus soui capnodes"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"soui"	"poliocephalus"	"(Aldrich, 1937)"	"."	"."	"Panama   (Pacific Slope)"	"."	"."	"."	"Crypturellus soui poliocephalus"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"soui"	"panamensis"	"(Carriker, 1910)"	"."	"."	"Panama"	"."	"."	"."	"Crypturellus soui panamensis"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"soui"	"mustelinus"	"(Bangs, 1905)"	"."	"."	"ne Colombia, nw Venezuela"	"."	"."	"."	"Crypturellus soui mustelinus"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"soui"	"soui"	"(Hermann, 1783)"	"."	"."	"e Colombia to ne Brazil"	"."	"."	"."	"Crypturellus soui soui"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"soui"	"andrei"	"(Brabourne & Chubb, C, 1914)"	"."	"."	"Trinidad, ne Venezuela"	"."	"."	"."	"Crypturellus soui andrei"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"soui"	"caucae"	"(Chapman, 1912)"	"."	"."	"nc Colombia"	"."	"."	"."	"Crypturellus soui caucae"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"soui"	"harterti"	"(Brabourne & Chubb, C, 1914)"	"."	"."	"w Colombia, w Ecuador"	"."	"."	"."	"Crypturellus soui harterti"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"soui"	"caquetae"	"(Chapman, 1915)"	"."	"."	"se Colombia"	"."	"."	"."	"Crypturellus soui caquetae"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"soui"	"nigriceps"	"(Chapman, 1923)"	"."	"."	"e Ecuador, ne Peru"	"."	"."	"."	"Crypturellus soui nigriceps"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"soui"	"albigularis"	"(Brabourne & Chubb, C, 1914)"	"."	"."	"n and e Brazil"	"."	"."	"."	"Crypturellus soui albigularis"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"soui"	"inconspicuus"	"Carriker, 1935"	"."	"."	"c Peru to e Bolivia"	"."	"."	"."	"Crypturellus soui inconspicuus"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"obsoletus"	"cerviniventris"	"(Sclater, PL & Salvin, 1873)"	"."	"."	"n Venezuela"	"."	"."	"."	"Crypturellus obsoletus cerviniventris"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"obsoletus"	"knoxi"	"Phelps Jr, 1976"	"."	"."	"nw Venezuela"	"."	"."	"."	"Crypturellus obsoletus knoxi"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"obsoletus"	"castaneus"	"(Sclater, PL, 1858)"	"."	"."	"e Colombia to n Peru"	"."	"."	"."	"Crypturellus obsoletus castaneus"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"obsoletus"	"ochraceiventris"	"(Stolzmann, 1926)"	"."	"."	"c Peru"	"."	"."	"."	"Crypturellus obsoletus ochraceiventris"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"obsoletus"	"traylori"	"Blake, 1961"	"."	"."	"se Peru"	"."	"."	"."	"Crypturellus obsoletus traylori"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"obsoletus"	"punensis"	"(Chubb, C, 1918)"	"."	"."	"se Peru, n Bolivia"	"."	"."	"."	"Crypturellus obsoletus punensis"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"obsoletus"	"griseiventris"	"(Salvadori, 1895)"	"."	"."	"nc Brazil"	"."	"."	"."	"Crypturellus obsoletus griseiventris"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"obsoletus"	"hypochraceus"	"(Miranda-Ribeiro, 1938)"	"."	"."	"sw Brazil"	"."	"."	"."	"Crypturellus obsoletus hypochraceus"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"obsoletus"	"obsoletus"	"(Temminck, 1815)"	"."	"."	"s Brazil, Paraguay, ne Argentina"	"."	"."	"."	"Crypturellus obsoletus obsoletus"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"undulatus"	"manapiare"	"Phelps & Phelps Jr, 1952"	"."	"."	"s Venezuela"	"."	"."	"."	"Crypturellus undulatus manapiare"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"undulatus"	"simplex"	"(Salvadori, 1895)"	"."	"."	"s Guyana, nc Brazil"	"."	"."	"."	"Crypturellus undulatus simplex"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"undulatus"	"yapura"	"(von Spix, 1825)"	"."	"."	"w Amazonia"	"."	"."	"."	"Crypturellus undulatus yapura"
"TINAMIFORMES"	"Tinamidae"	"Tinamous"	"Crypturellus"	"undulatus"	"adspersus"	"(Temminck, 1815)"	"."	"."	"c Brazil"	"."	"."	"."	"Crypturellus undulatus adspersus"
